commonName,lat,lon,NbDocks,geometry,Station_number,Community
"Aldersgate Street, Barbican",51.520841,-0.09734,15,POINT (701370.28869462 5711741.5781393135),1065,1
"Falkirk Street, Hoxton",51.53095,-0.078505,26,POINT (702631.795360232 5712917.5333549045),1047,1
"Hampstead Road, Euston",51.525542,-0.138231,54,POINT (698513.581574933 5712152.46139748),972,0
"Old Quebec Street, Marylebone",51.514577,-0.158264,16,POINT (697171.574640956 5710879.157249407),1085,0
"Albert Embankment, Vauxhall",51.490435,-0.122806,24,POINT (699736.9161094319 5708291.176671244),1059,3
"Queen Street 1, Bank",51.511553,-0.09294,22,POINT (701716.5259471744 5710721.048348314),999,2
"Jewry Street, Aldgate",51.513406,-0.076793,17,POINT (702828.4891520398 5710971.71664447),1045,1
"Crosswall, Tower",51.511594,-0.077121,34,POINT (702813.7865835119 5710769.347230517),991,2
"Woodstock Street, Mayfair",51.514105,-0.147301,21,POINT (697934.1392369713 5710856.286341023),1042,3
"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,20,POINT (701418.433361303 5712318.870363641),1049,1
"Abbey Orchard Street, Westminster",51.498125,-0.132102,29,POINT (699058.1843214651 5709120.832141998),3429,3
"Park Lane , Hyde Park",51.510017,-0.157275,28,POINT (697259.8885787417 5710374.830105422),1037,3
"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,22,POINT (697080.1503651306 5711982.4314466),1050,0
"Braham Street, Aldgate",51.514233,-0.073537,34,POINT (703050.6851769448 5711072.6966822855),1062,1
"Little Argyll Street, West End",51.514499,-0.141423,21,POINT (698340.1951531571 5710916.013728848),995,0
"Lollard Street, Vauxhall",51.49288,-0.114934,25,POINT (700272.5722943861 5708584.532771733),998,2
"Rochester Row, Westminster",51.495827,-0.135478,13,POINT (698833.9078233389 5708856.156236973),3457,3
"Bath Street, St. Luke's",51.525893,-0.090847,18,POINT (701798.3034905228 5712321.163180962),964,1
"The Guildhall, Guildhall",51.515735,-0.09308,17,POINT (701688.3323643523 5711185.62280208),1044,1
"Baker Street, Marylebone",51.518913,-0.156166,22,POINT (697298.3696398009 5711366.903031797),1086,0
"Norton Folgate, Liverpool Street",51.521113,-0.078869,23,POINT (702650.2455996855 5711822.835067925),1068,1
"St. John Street, Finsbury",51.52836,-0.104724,18,POINT (700825.0268352113 5712557.2505305745),992,0
"Borough High Street, The Borough",51.500694,-0.094524,21,POINT (701654.5948996162 5709509.363867625),996,2
"Museum of London, Barbican",51.517821,-0.096496,52,POINT (701442.1607129959 5711408.133927811),1043,1
"Wood Street, Guildhall",51.517008,-0.093885,17,POINT (701626.8662450428 5711324.937425717),1063,1
"Tower Gardens , Tower",51.509506,-0.075459,24,POINT (702938.3703679261 5710541.810757227),1071,2
"Eversholt Street , Camden Town",51.533005,-0.136792,16,POINT (698580.8915070909 5712986.123613737),1005,0
"Bethnal Green Road, Shoreditch",51.523648,-0.074754,38,POINT (702924.3885539544 5712116.088579415),973,1
"Clerkenwell Green, Clerkenwell",51.52326,-0.104708,21,POINT (700848.5878878077 5711990.26726694),1053,1
"Queen Victoria Street, St. Paul's",51.511961,-0.097441,32,POINT (701402.4682499698 5710754.008276301),1048,1
"Green Street, Mayfair",51.512276,-0.157436,19,POINT (697238.9573082533 5710625.557819372),3464,3
"Lambeth Road, Vauxhall",51.494881,-0.117974,18,POINT (700052.8200848529 5708798.690926557),1078,2
"Finsbury Square , Moorgate",51.520962,-0.085634,33,POINT (702181.6916336799 5711787.324658935),1056,1
"Chapel Place, Marylebone",51.515308,-0.147203,29,POINT (697935.7204122903 5710990.304164591),1003,0
