Station,Start Count,End Count,Total Trips,Start/End,Community
"Taviton Street, Bloomsbury",889,799,1688,1.1126408010012516,0
"Temple Gardens, Temple",312,366,678,0.8524590163934426,3
"The Guildhall, Guildhall",442,618,1060,0.7152103559870551,1
"The Tennis Courts, The Regent's Park",233,204,437,1.142156862745098,0
"Theobald's Road , Holborn",832,785,1617,1.0598726114649681,0
"Tooley Street, Bermondsey",1056,1141,2197,0.9255039439088519,2
"Torrens Street, Angel",189,210,399,0.9,1
"Tower Gardens , Tower",446,513,959,0.8693957115009746,2
"Tower Wharf, Bermondsey",662,614,1276,1.0781758957654723,2
"Triangle Car Park, Hyde Park",385,372,757,1.0349462365591398,3
"Tyers Gate, Bermondsey",510,492,1002,1.0365853658536586,2
"Tysoe Street, Clerkenwell",626,644,1270,0.9720496894409938,1
"Union Street, The Borough",504,537,1041,0.9385474860335196,2
"Upper Grosvenor Street, Mayfair",58,49,107,1.183673469387755,0
"Victoria & Albert Museum, South Kensington",138,123,261,1.1219512195121952,3
"Victory Place, Walworth",347,247,594,1.4048582995951417,2
"Vincent Square, Westminster",213,199,412,1.07035175879397,3
"Vincent Street, Pimlico",486,421,907,1.154394299287411,3
"Walnut Tree Walk, Vauxhall",495,439,934,1.1275626423690206,2
"Walworth Square, Walworth",689,619,1308,1.1130856219709209,2
"Wardour Street, Soho",722,746,1468,0.967828418230563,0
"Warren Street Station, Euston",1405,1415,2820,0.9929328621908127,0
"Warwick Row, Westminster",711,800,1511,0.88875,3
"Warwick Square, Pimlico",580,406,986,1.4285714285714286,3
"Waterloo Bridge, South Bank",194,260,454,0.7461538461538462,0
"Waterloo Place, St. James's",368,369,737,0.997289972899729,3
"Waterloo Road, South Bank",456,488,944,0.9344262295081968,2
"Waterloo Station 1, Waterloo",2984,2918,5902,1.0226182316655243,1
"Waterloo Station 2, Waterloo",2360,1040,3400,2.269230769230769,1
"Waterloo Station 3, Waterloo",4659,4998,9657,0.9321728691476591,1
"Webber Street , Southwark",824,793,1617,1.039092055485498,2
"Wellington Arch, Hyde Park",380,424,804,0.8962264150943396,3
"Wellington Row, Bethnal Green",322,294,616,1.0952380952380953,1
"Wellington Street , Strand",880,917,1797,0.9596510359869138,2
"Wells Street, Fitzrovia",799,801,1600,0.9975031210986267,0
